param_val,param_names
72.76194113644902,initial_seasonal.126
77.49693055477805,initial_seasonal.127
80.32612977807685,initial_seasonal.128
83.29088652756025,initial_seasonal.129
90.36638463305891,initial_seasonal.130
91.09947713939347,initial_seasonal.131
93.66694933329023,initial_seasonal.132
96.86610125617102,initial_seasonal.133
100.8745942501734,initial_seasonal.134
105.8383681105068,initial_seasonal.135
102.83249910116909,initial_seasonal.136
91.05978188770483,initial_seasonal.137
92.17892846892725,initial_seasonal.138
82.86820280107439,initial_seasonal.139
78.9892454762593,initial_seasonal.140
69.06627678727779,initial_seasonal.141
60.41355708416383,initial_seasonal.142
61.122362119170134,initial_seasonal.143
60.2970816669431,initial_seasonal.144
63.19213047554765,initial_seasonal.145
61.23115001988575,initial_seasonal.146
69.891927720292,initial_seasonal.147
69.57508167037416,initial_seasonal.148
68.26968884592604,initial_seasonal.149
81.93154146504602,initial_seasonal.150
90.27265704333261,initial_seasonal.151
83.86725889622167,initial_seasonal.152
85.71573007672545,initial_seasonal.153
87.94763396733902,initial_seasonal.154
87.65888685842543,initial_seasonal.155
83.12779934418418,initial_seasonal.156
80.11295171703483,initial_seasonal.157
79.95494049631222,initial_seasonal.158
78.3888633346205,initial_seasonal.159
63.47794490231081,initial_seasonal.160
48.98155705433127,initial_seasonal.161
42.31495187255088,initial_seasonal.162
28.1917101539042,initial_seasonal.163
20.83931531734092,initial_seasonal.164
20.052220642260803,initial_seasonal.165
11.598439485848878,initial_seasonal.166
0.0,initial_seasonal.167
